소재지도로명주소,동가
대구광역시 동구 효동로 78-7,효목동
대구광역시 동구 율하동로15길 1,율하동
대구광역시 동구 안심로49길 70,서호동
대구광역시 동구 동촌로 168,방촌동
대구광역시 동구 송라로6길 5,신천동
대구광역시 동구 아양로 221,신암동
대구광역시 동구 아양로42길 12,효목동
대구광역시 동구 아양로8길 31-4,신암동
대구광역시 동구 송라로123,신암동
대구광역시 동구 송라로110,신암동
대구광역시 동구 신암북로7길 22,신암동
대구광역시 동구 신암북로7길 75,신암동
대구광역시 동구 동부로34길 70,신천동
대구광역시 동구 파계로 525-11,중대동
대구광역시 동구 율하동로23길 66,율하동
대구광역시 동구 안심로90길 9,괴전동
대구광역시 동구 안심로90길 22,괴전동
대구광역시 동구 방천로3길 19,불로동
대구광역시 동구 신암남로45,신암동
대구광역시 동구 화랑로27길 25,효목동
대구광역시 동구 화랑로25길 21,효목동
대구광역시 동구 동촌로42길 35-14,방촌동
대구광역시 동구 동촌로48길 24-7,방촌동
대구광역시 동구 동북로71길 29,신암동
대구광역시 동구 팔공로197길 35,백안동
대구광역시 동구 옻골로50,부동
대구광역시 동구 숙천로 15,숙천동
대구광역시 동구 해동로 219,검사동
대구광역시 동구 아양로 300,입석동
대구광역시 동구 팔공로50길 32,봉무동
대구광역시 동구 팔공로 220-4,봉무동
대구광역시 동구 파게로6길 54-3,지묘동
대구광역시 동구 아양로34길 50,신암동
대구광역시 동구 화랑로25길 45,효목동
대구광역시 동구 동촌로56길 82,방촌동
대구광역시 동구 화랑로88길 80,방촌동
대구광역시 동구 화랑로88길 90,방촌동
대구광역시 동구 율하동로20길 31,율하동
대구광역시 동구 큰고개로 23,신암동
대구광역시 동구 큰고개로 46-2,신암동
대구광역시 동구 경안로103길 31,서호동
대구광역시 동구 안심로51길 13-2,서호동
대구광역시 동구 동촌로54길 13,방촌동
대구광역시 동구 반야월북로55길 43,신서동
대구광역시 동구 안심로7길 21,용계동
대구광역시 동구 동호로 25,동호동
대구광역시 동구 안심로 300,동호동
대구광역시 동구 동호로7길 17,신서동
대구광역시 동구 율하동로 55,율하동
대구광역시 동구 율하동로8길 75,율하동
대구광역시 동구 팔공산로 225,덕곡동
대구광역시 동구 동호로2길 37-17,동호동
대구광역시 동구 화랑로 558,용계동
대구광역시 동구 파계로 117,지묘동
대구광역시 동구 아양로52길 17,효목동
대구광역시 동구 율하동로28길 39,율하동
대구광역시 동구 율하동로26길 22,율하동
대구광역시 동구 송라로3길 13-3,신천동
대구광역시 동구 팔공로91길 10,지묘동
대구광역시 동구 율하서로 96,율하동
대구광역시 동구 안심로16길 70,율하동
대구광역시 동구 효목로19길 9-6,효목동
대구광역시 동구 팔공로68길 4-5,봉무동
대구광역시 동구 신암남로27길 35,신암동
대구광역시 동구 방촌로17길 26,방촌동
대구광역시 동구 동촌로45길 39,방촌동
대구광역시 동구 송라로 3-6,신천동
대구광역시 동구 과학로13길 5,각산동
대구광역시 동구 신암로18길 19,신암동
대구광역시 동구 율하서로3길 45,율하동
대구광역시 동구 금호강변로3길 14,율하동
대구광역시 동구 신암남로 175-1,신암동
대구광역시 동구 국채보상로165길 31,신천동
대구광역시 동구 팔공로53길 30,봉무동
대구광역시 동구 효목로17길 50,효목동
대구광역시 동구 용계로1길 36,용계동
대구광역시 동구 동부로 67-1,신천동
대구광역시 동구 반야월로 208-1,동호동
대구광역시 동구 안심로51길 120,동호동
대구광역시 동구 안심로 16길 19,율하동
대구광역시 동구 신암북로 11길 11,신암동
대구광역시 동구 위남로2길 38,봉무동
대구광역시 동구 파계로19길 12-7,지묘동
대구광역시 동구 메디벨리로8길 11,사복동
대구광역시 동구 메디벨리로8길 11,사복동
대구광역시 서구 옥산로6길 9,원대동
